Usage,Temp,Hour
2.487,50,3
0.611,50,4
0.48,50,5
0.271,50,6
0.291,50,7
0.25,50,8
1.952,50,9
0.232,50,10
0.475,50,11
1.759,50,12
0.125,50,13
0.595,50,14
0.112,50,15
0.112,50,16
0.478,50,17
0.423,50,18
0.638,50,19
0.894,50,20
0.307,50,21
0.303,50,22
0.552,50,23
0.764,46,0
2.548,46,1
1.229,46,2
0.518,46,3
2.027,46,4
1.682,46,5
0.267,46,6
1.707,46,7
1.633,46,8
0.105,46,9
0.463,46,10
0.112,46,11
0.115,46,12
2.623,46,13
0.103,46,14
0.206,46,15
0.485,46,16
0.163,46,17
0.39,46,18
0.107,46,19
0.116,46,20
0.374,46,21
0.109,46,22
0.107,46,23
0.172,55,0
0.49,55,1
0.56,55,2
0.314,55,3
0.494,55,4
0.265,55,5
0.274,55,6
0.14,55,7
0.367,55,8
0.12,55,9
0.107,55,10
0.105,55,11
0.109,55,12
1.45,55,13
0.117,55,14
0.458,55,15
0.442,55,16
0.107,55,17
0.127,55,18
0.388,55,19
0.129,55,20
0.112,55,21
0.292,55,22
0.33,55,23
0.503,68,0
0.238,68,1
0.673,68,2
1.98,68,3
1.853,68,4
1.381,68,5
0.132,68,6
0.471,68,7
0.111,68,8
0.11,68,9
0.429,68,10
0.109,68,11
0.12,68,12
0.119,68,13
0.51,68,14
0.239,68,15
0.528,68,16
0.172,68,17
0.95,68,18
0.375,68,19
0.132,68,20
0.612,68,21
0.826,68,22
0.307,68,23
2.964,67,0
1.794,67,1
0.836,67,2
0.835,67,3
0.605,67,4
0.247,67,5
0.412,67,6
0.146,67,7
0.136,67,8
0.368,67,9
0.125,67,10
0.298,67,11
2.917,67,12
2.852,67,13
3.947,67,14
0.592,67,15
0.499,67,16
0.124,67,17
0.109,67,18
0.374,67,19
0.103,67,20
0.347,67,21
0.103,67,22
0.122,67,23
0.124,63,0
0.314,63,1
0.114,63,2
0.103,63,3
0.319,63,4
0.104,63,5
0.108,63,6
0.122,63,7
0.339,63,8
0.225,63,9
0.146,63,10
0.131,63,11
0.339,63,12
0.144,63,13
0.11,63,14
0.103,63,15
0.122,63,16
0.348,63,17
0.102,63,18
0.122,63,19
0.103,63,20
0.103,63,21
0.123,63,22
0.42,63,23
0.105,65,0
0.121,65,1
0.104,65,2
0.291,65,3
0.476,65,4
0.517,65,5
0.217,65,6
0.105,65,7
0.392,65,8
0.108,65,9
0.617,65,10
1.447,65,11
3.122,65,12
2.577,65,13
2.624,65,14
0.123,65,15
0.496,65,16
0.109,65,17
0.485,65,18
0.671,65,19
0.419,65,20
0.428,65,21
0.172,65,22
0.118,65,23
1.215,56,0
0.706,56,1
0.843,56,2
2.984,56,3
0.532,56,4
0.274,56,5
0.339,56,6
0.123,56,7
0.107,56,8
